#Radio	Excentricidad
52.7138	0.0476756
103.377	0.0246764
57.659	0.0491828
11.7774	0.299115
91.2634	0.00121978
70.1314	0.052903
57.438	0.0506862
36.3079	0.0600995
95.0541	0.0529333
31.8962	0.191645
62.1243	0.0481316
70.5547	0.0773732
109.9	0.0287073
24.5028	0.208302
53.8735	0.0528421
89.1962	0.0199028
17.0979	0.0393017
96.8291	0.0504141
103.102	0.0271342
55.4914	0.0393045
21.4594	0.356258
7.82606	0.0156167
37.0962	0.0475068
56.5989	0.0321837
93.1562	0.0476858
71.5579	0.0515496
53.9826	0.0526815
48.0128	0.0637104
72.9718	0.0523862
49.6459	0.0474087
105.089	0.0273934
95.7849	0.0135868
54.4204	0.0470196
48.7628	0.0529592
32.1029	0.0518461
22.281	0.0538772
22.6432	0.107169
36.5835	0.0517277
94.0718	0.0521656
99.8872	0.067922
36.6844	0.076142
57.2161	0.060582
110.121	0.0202767
8.05918	0.133723
90.496	0.0432113
43.2356	0.0437919
25.5543	0.0235805
12.1989	0.109755
61.2639	0.035632
108.684	0.0315244
24.93	0.0602117
90.2949	0.0764935
96.7474	0.0425024
41.8435	0.0648746
100.356	0.0392971
24.3146	0.0439956
23.4178	0.0509901
79.0789	0.0525019
84.9957	0.0518778
16.6177	0.213289
6.61659	0.27171
97.656	0.0418828
69.2724	0.0465336
104.352	0.0481559
24.7805	0.0477877
101.327	0.0524179
14.5337	0.0394505
38.3139	0.0218053
46.9039	0.0950553
8.07978	0.212302
63.6164	0.019183
65.2778	0.00996914
96.4881	0.0272034
112.184	0.0301809
12.426	0.0332754
65.0105	0.0523414
102.236	0.0440685


99.9805	0.0177402
2.81706	0.394466
88.7474	0.0292415
18.2871	0.167173
85.8914	0.0527396
33.7888	0.0437679
31.9995	0.104139
47.2939	0.121397
11.2509	0.0798196
89.9805	0.0365428
56.494	0.0396439
65.9102	0.0730643
31.0119	0.0582478
11.7844	0.0644189
67.0595	0.0527835
100.074	0.0481277
97.3082	0.0107272
25.2364	0.07126
27.9265	0.151079
57.5635	0.0555567
66.4495	0.0526837
11.6852	0.482782
29.8802	0.0420144
73.957	0.0341057
20.8517	0.139754
61.2989	0.278457
89.4977	0.0233318
59.7709	0.0907043
57.7725	0.0518678
79.0696	0.061991
43.805	0.157888
87.0341	0.0963519
43.1535	0.0882402
17.4608	0.0753009
12.3301	0.128832
81.908	0.0496513
71.2117	0.0323214
83.9602	0.0528352
85.1804	0.0529156
58.1315	0.0429055
42.2772	0.151583
62.6783	0.044433
92.2945	0.0387813
64.254	0.0459434
41.936	0.318604
32.8089	0.0687668
96.6048	0.0506658
54.6339	0.0626325
97.4495	0.0197281
50.7764	0.0290672
91.8766	0.0258531
26.1835	0.0363296
87.45	0.0653433
